"Population by disability type","Number"
"Blind/low vision",""
"Female","61"
"Male","72"
"","133"
"Deaf/hard of hearing",""
"Female","62"
"Male","65"
"","127"
"Deaf-Blind",""
"Female","6"
"Male","0"
"","6"
"Intellectual disable",""
"Female","6"
"Male","11"
"","17"
"Mental disable",""
"Female","8"
"Male","8"
"","16"
"Multiple disable",""
"Female","14"
"Male","22"
"","36"
"No disability",""
"Female","10400"
"Male","10118"
"","20518"
"Physical",""
"Female","189"
"Male","287"
"","476"
"Speech problem",""
"Female","17"
"Male","20"
"","37"
