"Population by disability type","Number"
"Blind/low vision",""
"Female","32"
"Male","36"
"","68"
"Deaf/hard of hearing",""
"Female","17"
"Male","21"
"","38"
"Deaf-Blind",""
"Female","3"
"Male","5"
"","8"
"Intellectual disable",""
"Female","11"
"Male","7"
"","18"
"Mental disable",""
"Female","20"
"Male","30"
"","50"
"Multiple disable",""
"Female","25"
"Male","26"
"","51"
"No disability",""
"Female","23278"
"Male","21814"
"","45092"
"Physical",""
"Female","83"
"Male","108"
"","191"
"Speech problem",""
"Female","34"
"Male","35"
"","69"
