"Population by Educational Attainment","Number"
"Beginners",""
"Female","195"
"Male","206"
"","401"
"Graduate and Equivalent",""
"Female","19"
"Male","62"
"","81"
"Intermediate and Equivalent",""
"Female","194"
"Male","193"
"","387"
"Level not Stated",""
"Female","17"
"Male","23"
"","40"
"Lower Secondary (Class 6-8)",""
"Female","1099"
"Male","1151"
"","2250"
"Non Formal Education",""
"Female","510"
"Male","429"
"","939"
"Others",""
"Female","6"
"Male","20"
"","26"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","21"
"","25"
"Primary Education (1-5 Class)",""
"Female","2177"
"Male","2414"
"","4591"
"Secondary Level (Class 9-10)",""
"Female","499"
"Male","580"
"","1079"
"SLC and Equivalent",""
"Female","282"
"Male","380"
"","662"
