"Population by disability type","Number"
"Blind/low vision",""
"Female","33"
"Male","33"
"","66"
"Deaf/hard of hearing",""
"Female","32"
"Male","38"
"","70"
"Deaf-Blind",""
"Female","2"
"Male","6"
"","8"
"Intellectual disable",""
"Female","5"
"Male","1"
"","6"
"Mental disable",""
"Female","6"
"Male","7"
"","13"
"Multiple disable",""
"Female","5"
"Male","10"
"","15"
"No disability",""
"Female","9189"
"Male","8029"
"","17218"
"Physical",""
"Female","56"
"Male","86"
"","142"
"Speech problem",""
"Female","30"
"Male","33"
"","63"
