"Population by disability type","Number"
"Blind/low vision",""
"Female","6871"
"Male","7211"
"","14082"
"Deaf/hard of hearing",""
"Female","6663"
"Male","7753"
"","14416"
"Deaf-Blind",""
"Female","690"
"Male","811"
"","1501"
"Intellectual disable",""
"Female","1410"
"Male","1579"
"","2989"
"Mental disable",""
"Female","3048"
"Male","3160"
"","6208"
"Multiple disable",""
"Female","4243"
"Male","4676"
"","8919"
"No disability",""
"Female","2321616"
"Male","2084237"
"","4405853"
"Physical",""
"Female","13815"
"Male","19708"
"","33523"
"Speech problem",""
"Female","5733"
"Male","6668"
"","12401"
