"Population by Educational Attainment","Number"
"Beginners",""
"Female","197"
"Male","230"
"Graduate and Equivalent",""
"Female","15"
"Male","45"
"Intermediate and Equivalent",""
"Female","133"
"Male","106"
"Level not Stated",""
"Female","32"
"Male","34"
"Lower Secondary (Class 6-8)",""
"Female","1027"
"Male","873"
"Non Formal Education",""
"Female","169"
"Male","257"
"Others",""
"Female","1"
"Male","0"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","8"
"Primary Education (1-5 Class)",""
"Female","1872"
"Male","1917"
"Secondary Level (Class 9-10)",""
"Female","480"
"Male","367"
"SLC and Equivalent",""
"Female","248"
"Male","261"
