"Population by Educational Attainment","Number"
"Beginners",""
"Female","276"
"Male","325"
"","601"
"Graduate and Equivalent",""
"Female","66"
"Male","134"
"","200"
"Intermediate and Equivalent",""
"Female","294"
"Male","307"
"","601"
"Level not Stated",""
"Female","31"
"Male","36"
"","67"
"Lower Secondary (Class 6-8)",""
"Female","2094"
"Male","1645"
"","3739"
"Non Formal Education",""
"Female","633"
"Male","538"
"","1171"
"Others",""
"Female","13"
"Male","12"
"","25"
"Post Graduate Equivalent and Above",""
"Female","9"
"Male","27"
"","36"
"Primary Education (1-5 Class)",""
"Female","3150"
"Male","3105"
"","6255"
"Secondary Level (Class 9-10)",""
"Female","989"
"Male","894"
"","1883"
"SLC and Equivalent",""
"Female","527"
"Male","633"
"","1160"
