"Population by disability type","Number"
"Blind/low vision",""
"Female","181"
"Male","168"
"","349"
"Deaf/hard of hearing",""
"Female","215"
"Male","252"
"","467"
"Deaf-Blind",""
"Female","26"
"Male","30"
"","56"
"Intellectual disable",""
"Female","32"
"Male","36"
"","68"
"Mental disable",""
"Female","68"
"Male","56"
"","124"
"Multiple disable",""
"Female","125"
"Male","118"
"","243"
"No disability",""
"Female","53343"
"Male","49190"
"","102533"
"Physical",""
"Female","379"
"Male","530"
"","909"
"Speech problem",""
"Female","179"
"Male","191"
"","370"
