"Population by Single Year of Age","Number"
"0",""
"Female","173"
"Male","210"
"1",""
"Female","180"
"Male","212"
"10",""
"Female","264"
"Male","273"
"11",""
"Female","234"
"Male","244"
"12",""
"Female","302"
"Male","324"
"13",""
"Female","269"
"Male","239"
"14",""
"Female","282"
"Male","242"
"15",""
"Female","269"
"Male","270"
"16",""
"Female","280"
"Male","268"
"17",""
"Female","259"
"Male","237"
"18",""
"Female","288"
"Male","229"
"19",""
"Female","223"
"Male","178"
"2",""
"Female","195"
"Male","204"
"20",""
"Female","231"
"Male","188"
"21",""
"Female","234"
"Male","133"
"22",""
"Female","239"
"Male","177"
"23",""
"Female","190"
"Male","115"
"24",""
"Female","199"
"Male","118"
"25",""
"Female","262"
"Male","147"
"26",""
"Female","180"
"Male","106"
"27",""
"Female","182"
"Male","108"
"28",""
"Female","197"
"Male","131"
"29",""
"Female","126"
"Male","84"
"3",""
"Female","185"
"Male","170"
"30",""
"Female","268"
"Male","131"
"31",""
"Female","88"
"Male","68"
"32",""
"Female","167"
"Male","104"
"33",""
"Female","97"
"Male","74"
"34",""
"Female","122"
"Male","72"
"35",""
"Female","259"
"Male","148"
"36",""
"Female","154"
"Male","88"
"37",""
"Female","90"
"Male","56"
"38",""
"Female","129"
"Male","78"
"39",""
"Female","73"
"Male","56"
"4",""
"Female","215"
"Male","200"
"40",""
"Female","275"
"Male","169"
"41",""
"Female","104"
"Male","54"
"42",""
"Female","120"
"Male","105"
"43",""
"Female","95"
"Male","70"
"44",""
"Female","72"
"Male","77"
"45",""
"Female","199"
"Male","144"
"46",""
"Female","100"
"Male","68"
"47",""
"Female","75"
"Male","65"
"48",""
"Female","154"
"Male","121"
"49",""
"Female","93"
"Male","74"
"5",""
"Female","204"
"Male","222"
"50",""
"Female","222"
"Male","164"
"51",""
"Female","86"
"Male","76"
"52",""
"Female","127"
"Male","96"
"53",""
"Female","88"
"Male","89"
"54",""
"Female","66"
"Male","69"
"55",""
"Female","139"
"Male","134"
"56",""
"Female","111"
"Male","71"
"57",""
"Female","79"
"Male","59"
"58",""
"Female","97"
"Male","104"
"59",""
"Female","58"
"Male","68"
"6",""
"Female","228"
"Male","190"
"60",""
"Female","187"
"Male","176"
"61",""
"Female","77"
"Male","67"
"62",""
"Female","68"
"Male","68"
"63",""
"Female","69"
"Male","59"
"64",""
"Female","68"
"Male","55"
"65",""
"Female","119"
"Male","118"
"66",""
"Female","51"
"Male","40"
"67",""
"Female","47"
"Male","57"
"68",""
"Female","70"
"Male","76"
"69",""
"Female","30"
"Male","30"
"7",""
"Female","192"
"Male","206"
"70",""
"Female","106"
"Male","102"
"71",""
"Female","26"
"Male","46"
"72",""
"Female","44"
"Male","53"
"73",""
"Female","36"
"Male","34"
"74",""
"Female","18"
"Male","27"
"75",""
"Female","69"
"Male","53"
"76",""
"Female","28"
"Male","36"
"77",""
"Female","26"
"Male","29"
"78",""
"Female","39"
"Male","40"
"79",""
"Female","17"
"Male","18"
"8",""
"Female","231"
"Male","259"
"80",""
"Female","36"
"Male","33"
"81",""
"Female","15"
"Male","19"
"82",""
"Female","21"
"Male","18"
"83",""
"Female","17"
"Male","22"
"84",""
"Female","26"
"Male","14"
"85",""
"Female","63"
"Male","74"
"9",""
"Female","214"
"Male","213"
