"Population by disability type","Number"
"Blind/low vision",""
"Female","42"
"Male","53"
"","95"
"Deaf/hard of hearing",""
"Female","110"
"Male","79"
"","189"
"Deaf-Blind",""
"Female","5"
"Male","3"
"","8"
"Intellectual disable",""
"Female","19"
"Male","8"
"","27"
"Mental disable",""
"Female","17"
"Male","29"
"","46"
"Multiple disable",""
"Female","45"
"Male","38"
"","83"
"No disability",""
"Female","21273"
"Male","17226"
"","38499"
"Physical",""
"Female","109"
"Male","167"
"","276"
"Speech problem",""
"Female","66"
"Male","67"
"","133"
