"Population by Caste Ethinicity","Number"
"Bhote",""
"Female","7"
"Male","5"
"","12"
"Brahman - Hill",""
"Female","2364"
"Male","2152"
"","4516"
"Chamar/ Harijan/ Ram",""
"Female","3"
"Male","11"
"","14"
"Chepang /Praja",""
"Female","18"
"Male","16"
"","34"
"Chhetri",""
"Female","6033"
"Male","4564"
"","10597"
"Dalit Others",""
"Female","4"
"Male","8"
"","12"
"Damai/Dholi",""
"Female","966"
"Male","797"
"","1763"
"Dura",""
"Female","22"
"Male","12"
"","34"
"Ghale",""
"Female","43"
"Male","39"
"","82"
"Gharti/Bhujel",""
"Female","380"
"Male","334"
"","714"
"Gurung",""
"Female","5509"
"Male","4241"
"","9750"
"Hyolmo",""
"Female","32"
"Male","23"
"","55"
"Kalwar",""
"Female","7"
"Male","11"
"","18"
"Kami",""
"Female","1326"
"Male","1076"
"","2402"
"Kathabaniyan",""
"Female","13"
"Male","14"
"","27"
"Khawas",""
"Female","23"
"Male","14"
"","37"
"Koiri/Kushwaha",""
"Female","4"
"Male","16"
"","20"
"Kumal",""
"Female","11"
"Male","19"
"","30"
"Kurmi",""
"Female","6"
"Male","7"
"","13"
"Limbu",""
"Female","12"
"Male","9"
"","21"
"Magar",""
"Female","705"
"Male","606"
"","1311"
"Musalman",""
"Female","152"
"Male","167"
"","319"
"Newar",""
"Female","1076"
"Male","969"
"","2045"
"Others",""
"Female","48"
"Male","42"
"","90"
"Rai",""
"Female","60"
"Male","61"
"","121"
"Sanyasi/Dasnami",""
"Female","27"
"Male","22"
"","49"
"Sarki",""
"Female","1227"
"Male","1011"
"","2238"
"Tamang",""
"Female","1525"
"Male","1298"
"","2823"
"Teli",""
"Female","11"
"Male","21"
"","32"
"Terai Others",""
"Female","4"
"Male","12"
"","16"
"Thakali",""
"Female","7"
"Male","9"
"","16"
"Thakuri",""
"Female","31"
"Male","29"
"","60"
"Tharu",""
"Female","30"
"Male","55"
"","85"
