"Population by Educational Attainment","Number"
"Beginners",""
"Female","239"
"Male","261"
"Graduate and Equivalent",""
"Female","64"
"Male","104"
"Intermediate and Equivalent",""
"Female","278"
"Male","397"
"Level not Stated",""
"Female","191"
"Male","279"
"Lower Secondary (Class 6-8)",""
"Female","1494"
"Male","1771"
"Non Formal Education",""
"Female","351"
"Male","545"
"Others",""
"Female","1"
"Male","7"
"Post Graduate Equivalent and Above",""
"Female","16"
"Male","38"
"Primary Education (1-5 Class)",""
"Female","2889"
"Male","3730"
"Secondary Level (Class 9-10)",""
"Female","678"
"Male","724"
"SLC and Equivalent",""
"Female","309"
"Male","479"
