"Population by disability type","Number"
"Blind/low vision",""
"Female","32"
"Male","24"
"","56"
"Deaf/hard of hearing",""
"Female","20"
"Male","23"
"","43"
"Deaf-Blind",""
"Female","3"
"Male","4"
"","7"
"Intellectual disable",""
"Female","1"
"Male","2"
"","3"
"Mental disable",""
"Female","7"
"Male","4"
"","11"
"Multiple disable",""
"Female","10"
"Male","17"
"","27"
"No disability",""
"Female","7306"
"Male","5934"
"","13240"
"Physical",""
"Female","29"
"Male","38"
"","67"
"Speech problem",""
"Female","12"
"Male","13"
"","25"
