"Population by disability type","Number"
"Blind/low vision",""
"Female","49"
"Male","51"
"","100"
"Deaf/hard of hearing",""
"Female","79"
"Male","89"
"","168"
"Deaf-Blind",""
"Female","3"
"Male","1"
"","4"
"Intellectual disable",""
"Female","18"
"Male","20"
"","38"
"Mental disable",""
"Female","27"
"Male","21"
"","48"
"Multiple disable",""
"Female","37"
"Male","40"
"","77"
"No disability",""
"Female","12948"
"Male","10887"
"","23835"
"Physical",""
"Female","99"
"Male","150"
"","249"
"Speech problem",""
"Female","53"
"Male","43"
"","96"
