"Population by Mother tongue","Number"
"Bahing",""
"Female","5"
"Male","7"
"","12"
"Bantawa",""
"Female","1959"
"Male","1622"
"","3581"
"Bhojpuri",""
"Female","11"
"Male","9"
"","20"
"Chamling",""
"Female","93"
"Male","85"
"","178"
"Dumi",""
"Female","8"
"Male","5"
"","13"
"Gurung",""
"Female","13"
"Male","11"
"","24"
"Khaling",""
"Female","9"
"Male","16"
"","25"
"Limbu",""
"Female","4757"
"Male","4030"
"","8787"
"Magar",""
"Female","714"
"Male","580"
"","1294"
"Maithili",""
"Female","51"
"Male","73"
"","124"
"Nachhiring",""
"Female","10"
"Male","11"
"","21"
"Nepali",""
"Female","2774"
"Male","2431"
"","5205"
"Newar",""
"Female","37"
"Male","38"
"","75"
"Not Reported",""
"Female","32"
"Male","27"
"","59"
"Others",""
"Female","55"
"Male","47"
"","102"
"Rai",""
"Female","990"
"Male","831"
"","1821"
"Sampang",""
"Female","115"
"Male","108"
"","223"
"Sunuwar",""
"Female","164"
"Male","137"
"","301"
"Tamang",""
"Female","1479"
"Male","1192"
"","2671"
"Tharu",""
"Female","5"
"Male","9"
"","14"
"Thulung",""
"Female","32"
"Male","33"
"","65"
