"Population by Educational Attainment","Number"
"Beginners",""
"Female","628"
"Male","737"
"Graduate and Equivalent",""
"Female","350"
"Male","556"
"Intermediate and Equivalent",""
"Female","1253"
"Male","1255"
"Level not Stated",""
"Female","135"
"Male","112"
"Lower Secondary (Class 6-8)",""
"Female","3410"
"Male","3575"
"Non Formal Education",""
"Female","1530"
"Male","1518"
"Others",""
"Female","3"
"Male","19"
"Post Graduate Equivalent and Above",""
"Female","49"
"Male","191"
"Primary Education (1-5 Class)",""
"Female","5501"
"Male","6083"
"Secondary Level (Class 9-10)",""
"Female","2341"
"Male","2395"
"SLC and Equivalent",""
"Female","1787"
"Male","2042"
