"Population by Educational Attainment","Number"
"Beginners",""
"Female","174"
"Male","171"
"Graduate and Equivalent",""
"Female","15"
"Male","57"
"Intermediate and Equivalent",""
"Female","105"
"Male","127"
"Level not Stated",""
"Female","19"
"Male","23"
"Lower Secondary (Class 6-8)",""
"Female","1124"
"Male","977"
"Non Formal Education",""
"Female","135"
"Male","185"
"Others",""
"Female","0"
"Male","0"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","12"
"Primary Education (1-5 Class)",""
"Female","1920"
"Male","2195"
"Secondary Level (Class 9-10)",""
"Female","627"
"Male","618"
"SLC and Equivalent",""
"Female","400"
"Male","415"
