"Population by disability type","Number"
"Blind/low vision",""
"Female","28"
"Male","28"
"","56"
"Deaf/hard of hearing",""
"Female","29"
"Male","29"
"","58"
"Deaf-Blind",""
"Female","3"
"Male","3"
"","6"
"Intellectual disable",""
"Female","8"
"Male","10"
"","18"
"Mental disable",""
"Female","15"
"Male","15"
"","30"
"Multiple disable",""
"Female","22"
"Male","22"
"","44"
"No disability",""
"Female","15305"
"Male","11793"
"","27098"
"Physical",""
"Female","56"
"Male","127"
"","183"
"Speech problem",""
"Female","24"
"Male","38"
"","62"
