"Population by disability type","Number"
"Blind/low vision",""
"Female","13"
"Male","10"
"","23"
"Deaf/hard of hearing",""
"Female","33"
"Male","39"
"","72"
"Deaf-Blind",""
"Female","0"
"Male","2"
"","2"
"Intellectual disable",""
"Female","0"
"Male","4"
"","4"
"Mental disable",""
"Female","1"
"Male","2"
"","3"
"Multiple disable",""
"Female","5"
"Male","5"
"","10"
"No disability",""
"Female","3454"
"Male","3384"
"","6838"
"Physical",""
"Female","63"
"Male","78"
"","141"
"Speech problem",""
"Female","4"
"Male","19"
"","23"
