"Population by Educational Attainment","Number"
"Beginners",""
"Female","459"
"Male","507"
"Graduate and Equivalent",""
"Female","29"
"Male","124"
"Intermediate and Equivalent",""
"Female","122"
"Male","356"
"Level not Stated",""
"Female","21"
"Male","19"
"Lower Secondary (Class 6-8)",""
"Female","1479"
"Male","2132"
"Non Formal Education",""
"Female","173"
"Male","233"
"Others",""
"Female","0"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","28"
"Primary Education (1-5 Class)",""
"Female","3012"
"Male","4074"
"Secondary Level (Class 9-10)",""
"Female","718"
"Male","1072"
"SLC and Equivalent",""
"Female","688"
"Male","1194"
