"Population by Educational Attainment","Number"
"Beginners",""
"Female","27"
"Male","35"
"","62"
"Graduate and Equivalent",""
"Female","54"
"Male","281"
"","335"
"Intermediate and Equivalent",""
"Female","165"
"Male","479"
"","644"
"Level not Stated",""
"Female","15"
"Male","28"
"","43"
"Lower Secondary (Class 6-8)",""
"Female","727"
"Male","1300"
"","2027"
"Non Formal Education",""
"Female","31"
"Male","30"
"","61"
"Others",""
"Female","2"
"Male","7"
"","9"
"Post Graduate Equivalent and Above",""
"Female","12"
"Male","55"
"","67"
"Primary Education (1-5 Class)",""
"Female","2224"
"Male","2621"
"","4845"
"Secondary Level (Class 9-10)",""
"Female","342"
"Male","841"
"","1183"
"SLC and Equivalent",""
"Female","226"
"Male","530"
"","756"
