"Population by disability type","Number"
"Blind/low vision",""
"Female","41"
"Male","44"
"","85"
"Deaf/hard of hearing",""
"Female","21"
"Male","18"
"","39"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","2"
"Male","4"
"","6"
"Mental disable",""
"Female","7"
"Male","11"
"","18"
"Multiple disable",""
"Female","20"
"Male","17"
"","37"
"No disability",""
"Female","10877"
"Male","10616"
"","21493"
"Physical",""
"Female","43"
"Male","66"
"","109"
"Speech problem",""
"Female","10"
"Male","17"
"","27"
