"Population by Educational Attainment","Number"
"Beginners",""
"Female","3828"
"Male","4266"
"Graduate and Equivalent",""
"Female","218"
"Male","829"
"Intermediate and Equivalent",""
"Female","2085"
"Male","3192"
"Level not Stated",""
"Female","313"
"Male","397"
"Lower Secondary (Class 6-8)",""
"Female","14625"
"Male","16856"
"Non Formal Education",""
"Female","2444"
"Male","1931"
"Others",""
"Female","63"
"Male","56"
"Post Graduate Equivalent and Above",""
"Female","29"
"Male","223"
"Primary Education (1-5 Class)",""
"Female","32217"
"Male","37106"
"Secondary Level (Class 9-10)",""
"Female","5823"
"Male","7522"
"SLC and Equivalent",""
"Female","3259"
"Male","5073"
