"Population by disability type","Number"
"Blind/low vision",""
"Female","21"
"Male","14"
"","35"
"Deaf/hard of hearing",""
"Female","7"
"Male","11"
"","18"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","3"
"Male","3"
"","6"
"Mental disable",""
"Female","8"
"Male","10"
"","18"
"Multiple disable",""
"Female","8"
"Male","9"
"","17"
"No disability",""
"Female","12130"
"Male","13149"
"","25279"
"Physical",""
"Female","31"
"Male","55"
"","86"
"Speech problem",""
"Female","6"
"Male","12"
"","18"
