"Population by disability type","Number"
"Blind/low vision",""
"Female","28"
"Male","38"
"","66"
"Deaf/hard of hearing",""
"Female","17"
"Male","33"
"","50"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","6"
"Male","7"
"","13"
"Mental disable",""
"Female","6"
"Male","11"
"","17"
"Multiple disable",""
"Female","15"
"Male","9"
"","24"
"No disability",""
"Female","7171"
"Male","6319"
"","13490"
"Physical",""
"Female","40"
"Male","64"
"","104"
"Speech problem",""
"Female","16"
"Male","26"
"","42"
