"Population by disability type","Number"
"Blind/low vision",""
"Female","18"
"Male","10"
"","28"
"Deaf/hard of hearing",""
"Female","49"
"Male","85"
"","134"
"Deaf-Blind",""
"Female","0"
"Male","1"
"","1"
"Intellectual disable",""
"Female","6"
"Male","7"
"","13"
"Mental disable",""
"Female","3"
"Male","3"
"","6"
"Multiple disable",""
"Female","22"
"Male","26"
"","48"
"No disability",""
"Female","2874"
"Male","2746"
"","5620"
"Physical",""
"Female","51"
"Male","68"
"","119"
"Speech problem",""
"Female","21"
"Male","21"
"","42"
