"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","932"
"Male","867"
"Brahman - Tarai",""
"Female","4"
"Male","7"
"Chhetri",""
"Female","2979"
"Male","2583"
"Dalit Others",""
"Female","12"
"Male","9"
"Damai/Dholi",""
"Female","401"
"Male","321"
"Gharti/Bhujel",""
"Female","228"
"Male","188"
"Gurung",""
"Female","182"
"Male","160"
"Halwai",""
"Female","0"
"Male","11"
"Kami",""
"Female","453"
"Male","381"
"Khawas",""
"Female","7"
"Male","13"
"Limbu",""
"Female","28"
"Male","19"
"Magar",""
"Female","143"
"Male","138"
"Newar",""
"Female","2762"
"Male","2426"
"Others",""
"Female","21"
"Male","43"
"Rai",""
"Female","3299"
"Male","2939"
"Sanyasi/Dasnami",""
"Female","37"
"Male","34"
"Sarki",""
"Female","283"
"Male","231"
"Sherpa",""
"Female","352"
"Male","284"
"Sunuwar",""
"Female","9"
"Male","9"
"Tamang",""
"Female","2352"
"Male","1966"
"Teli",""
"Female","3"
"Male","9"
"Terai Others",""
"Female","8"
"Male","7"
"Tharu",""
"Female","17"
"Male","19"
"Undefined Others",""
"Female","6"
"Male","7"
"Yadav",""
"Female","2"
"Male","13"
