"Population by disability type","Number"
"Blind/low vision",""
"Female","65"
"Male","59"
"","124"
"Deaf/hard of hearing",""
"Female","45"
"Male","60"
"","105"
"Deaf-Blind",""
"Female","1"
"Male","7"
"","8"
"Intellectual disable",""
"Female","4"
"Male","8"
"","12"
"Mental disable",""
"Female","8"
"Male","16"
"","24"
"Multiple disable",""
"Female","19"
"Male","21"
"","40"
"No disability",""
"Female","13688"
"Male","11425"
"","25113"
"Physical",""
"Female","149"
"Male","205"
"","354"
"Speech problem",""
"Female","23"
"Male","42"
"","65"
