"Industries Employment","Number"
"Accommodation,  food",""
"Female","139"
"Male","412"
"Administrative, support service",""
"Female","0"
"Male","17"
"Agriculture, forestry and  fishing",""
"Female","349"
"Male","340"
"Arts, entertainment, recreation",""
"Female","0"
"Male","2"
"Construction",""
"Female","0"
"Male","0"
"Education",""
"Female","768"
"Male","1515"
"Electricity, gas and water",""
"Female","9"
"Male","214"
"Financial intermediation and insurance",""
"Female","149"
"Male","261"
"Health, social work",""
"Female","808"
"Male","914"
"Information and communication",""
"Female","14"
"Male","50"
"Manufacturing",""
"Female","285"
"Male","850"
"Other service activities",""
"Female","289"
"Male","423"
"Professional, scientific, techniqual activity",""
"Female","3"
"Male","33"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","27"
"Male","142"
"Water supply, wet management",""
"Female","15"
"Male","24"
"Wholesale, retail trade",""
"Female","628"
"Male","2156"
