"Population by disability type","Number"
"Blind/low vision",""
"Female","31"
"Male","41"
"","72"
"Deaf/hard of hearing",""
"Female","24"
"Male","21"
"","45"
"Deaf-Blind",""
"Female","8"
"Male","9"
"","17"
"Intellectual disable",""
"Female","8"
"Male","6"
"","14"
"Mental disable",""
"Female","21"
"Male","15"
"","36"
"Multiple disable",""
"Female","18"
"Male","32"
"","50"
"No disability",""
"Female","15719"
"Male","13339"
"","29058"
"Physical",""
"Female","61"
"Male","95"
"","156"
"Speech problem",""
"Female","25"
"Male","46"
"","71"
