"Population by disability type","Number"
"Blind/low vision",""
"Female","22"
"Male","32"
"","54"
"Deaf/hard of hearing",""
"Female","18"
"Male","28"
"","46"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","1"
"Male","1"
"","2"
"Mental disable",""
"Female","8"
"Male","18"
"","26"
"Multiple disable",""
"Female","9"
"Male","12"
"","21"
"No disability",""
"Female","6472"
"Male","6276"
"","12748"
"Physical",""
"Female","53"
"Male","66"
"","119"
"Speech problem",""
"Female","11"
"Male","20"
"","31"
