"Population by disability type","Number"
"Blind/low vision",""
"Female","46"
"Male","42"
"","88"
"Deaf/hard of hearing",""
"Female","25"
"Male","41"
"","66"
"Deaf-Blind",""
"Female","1"
"Male","0"
"","1"
"Intellectual disable",""
"Female","4"
"Male","5"
"","9"
"Mental disable",""
"Female","17"
"Male","10"
"","27"
"Multiple disable",""
"Female","32"
"Male","27"
"","59"
"No disability",""
"Female","7143"
"Male","6159"
"","13302"
"Physical",""
"Female","85"
"Male","108"
"","193"
"Speech problem",""
"Female","17"
"Male","22"
"","39"
