"Population by disability type","Number"
"Blind/low vision",""
"Female","100"
"Male","106"
"","206"
"Deaf/hard of hearing",""
"Female","79"
"Male","74"
"","153"
"Deaf-Blind",""
"Female","11"
"Male","6"
"","17"
"Intellectual disable",""
"Female","18"
"Male","13"
"","31"
"Mental disable",""
"Female","46"
"Male","49"
"","95"
"Multiple disable",""
"Female","37"
"Male","31"
"","68"
"No disability",""
"Female","36103"
"Male","32668"
"","68771"
"Physical",""
"Female","144"
"Male","237"
"","381"
"Speech problem",""
"Female","57"
"Male","72"
"","129"
