"Population by disability type","Number"
"Blind/low vision",""
"Female","133"
"Male","147"
"","280"
"Deaf/hard of hearing",""
"Female","57"
"Male","60"
"","117"
"Deaf-Blind",""
"Female","9"
"Male","4"
"","13"
"Intellectual disable",""
"Female","8"
"Male","11"
"","19"
"Mental disable",""
"Female","31"
"Male","56"
"","87"
"Multiple disable",""
"Female","34"
"Male","57"
"","91"
"No disability",""
"Female","32867"
"Male","30911"
"","63778"
"Physical",""
"Female","179"
"Male","278"
"","457"
"Speech problem",""
"Female","48"
"Male","59"
"","107"
