"Population by Educational Attainment","Number"
"Beginners",""
"Female","392"
"Male","409"
"","801"
"Graduate and Equivalent",""
"Female","18"
"Male","112"
"","130"
"Intermediate and Equivalent",""
"Female","201"
"Male","370"
"","571"
"Level not Stated",""
"Female","42"
"Male","32"
"","74"
"Lower Secondary (Class 6-8)",""
"Female","1354"
"Male","1647"
"","3001"
"Non Formal Education",""
"Female","386"
"Male","279"
"","665"
"Others",""
"Female","6"
"Male","5"
"","11"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","60"
"","65"
"Primary Education (1-5 Class)",""
"Female","2942"
"Male","3318"
"","6260"
"Secondary Level (Class 9-10)",""
"Female","669"
"Male","1186"
"","1855"
"SLC and Equivalent",""
"Female","314"
"Male","439"
"","753"
