"Population by Educational Attainment","Number"
"Beginners",""
"Female","112"
"Male","155"
"","267"
"Graduate and Equivalent",""
"Female","28"
"Male","122"
"","150"
"Intermediate and Equivalent",""
"Female","58"
"Male","314"
"","372"
"Level not Stated",""
"Female","123"
"Male","332"
"","455"
"Lower Secondary (Class 6-8)",""
"Female","580"
"Male","1167"
"","1747"
"Non Formal Education",""
"Female","7"
"Male","5"
"","12"
"Others",""
"Female","6"
"Male","2"
"","8"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","26"
"","29"
"Primary Education (1-5 Class)",""
"Female","1862"
"Male","2717"
"","4579"
"Secondary Level (Class 9-10)",""
"Female","211"
"Male","598"
"","809"
"SLC and Equivalent",""
"Female","138"
"Male","516"
"","654"
