"Population by Educational Attainment","Number"
"Beginners",""
"Female","162"
"Male","235"
"","397"
"Graduate and Equivalent",""
"Female","66"
"Male","270"
"","336"
"Intermediate and Equivalent",""
"Female","217"
"Male","584"
"","801"
"Level not Stated",""
"Female","33"
"Male","46"
"","79"
"Lower Secondary (Class 6-8)",""
"Female","970"
"Male","1878"
"","2848"
"Non Formal Education",""
"Female","255"
"Male","310"
"","565"
"Others",""
"Female","12"
"Male","23"
"","35"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","77"
"","85"
"Primary Education (1-5 Class)",""
"Female","2756"
"Male","4263"
"","7019"
"Secondary Level (Class 9-10)",""
"Female","451"
"Male","1115"
"","1566"
"SLC and Equivalent",""
"Female","316"
"Male","769"
"","1085"
