"Population by disability type","Number"
"Blind/low vision",""
"Female","38"
"Male","28"
"","66"
"Deaf/hard of hearing",""
"Female","12"
"Male","16"
"","28"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","5"
"Male","7"
"","12"
"Mental disable",""
"Female","9"
"Male","18"
"","27"
"Multiple disable",""
"Female","7"
"Male","12"
"","19"
"No disability",""
"Female","20406"
"Male","21589"
"","41995"
"Physical",""
"Female","45"
"Male","84"
"","129"
"Speech problem",""
"Female","21"
"Male","34"
"","55"
