"Population by Educational Attainment","Number"
"Beginners",""
"Female","403"
"Male","462"
"","865"
"Graduate and Equivalent",""
"Female","57"
"Male","110"
"","167"
"Intermediate and Equivalent",""
"Female","247"
"Male","259"
"","506"
"Level not Stated",""
"Female","8"
"Male","10"
"","18"
"Lower Secondary (Class 6-8)",""
"Female","2068"
"Male","1458"
"","3526"
"Non Formal Education",""
"Female","449"
"Male","657"
"","1106"
"Others",""
"Female","4"
"Male","6"
"","10"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","40"
"","46"
"Primary Education (1-5 Class)",""
"Female","3408"
"Male","2942"
"","6350"
"Secondary Level (Class 9-10)",""
"Female","1215"
"Male","794"
"","2009"
"SLC and Equivalent",""
"Female","1324"
"Male","917"
"","2241"
