"Population by disability type","Number"
"Blind/low vision",""
"Female","75"
"Male","89"
"","164"
"Deaf/hard of hearing",""
"Female","13"
"Male","21"
"","34"
"Deaf-Blind",""
"Female","4"
"Male","6"
"","10"
"Intellectual disable",""
"Female","5"
"Male","5"
"","10"
"Mental disable",""
"Female","8"
"Male","18"
"","26"
"Multiple disable",""
"Female","3"
"Male","14"
"","17"
"No disability",""
"Female","24291"
"Male","25669"
"","49960"
"Physical",""
"Female","60"
"Male","152"
"","212"
"Speech problem",""
"Female","24"
"Male","24"
"","48"
