"Population by disability type","Number"
"Blind/low vision",""
"Female","16"
"Male","36"
"","52"
"Deaf/hard of hearing",""
"Female","27"
"Male","32"
"","59"
"Deaf-Blind",""
"Female","3"
"Male","5"
"","8"
"Intellectual disable",""
"Female","8"
"Male","5"
"","13"
"Mental disable",""
"Female","22"
"Male","19"
"","41"
"Multiple disable",""
"Female","36"
"Male","41"
"","77"
"No disability",""
"Female","10928"
"Male","9368"
"","20296"
"Physical",""
"Female","82"
"Male","101"
"","183"
"Speech problem",""
"Female","46"
"Male","45"
"","91"
