"Population by disability type","Number"
"Blind/low vision",""
"Female","38"
"Male","41"
"","79"
"Deaf/hard of hearing",""
"Female","37"
"Male","41"
"","78"
"Deaf-Blind",""
"Female","4"
"Male","5"
"","9"
"Intellectual disable",""
"Female","3"
"Male","6"
"","9"
"Mental disable",""
"Female","3"
"Male","12"
"","15"
"Multiple disable",""
"Female","10"
"Male","14"
"","24"
"No disability",""
"Female","11362"
"Male","10453"
"","21815"
"Physical",""
"Female","64"
"Male","59"
"","123"
"Speech problem",""
"Female","15"
"Male","24"
"","39"
