"Population by disability type","Number"
"Blind/low vision",""
"Female","22"
"Male","29"
"","51"
"Deaf/hard of hearing",""
"Female","12"
"Male","14"
"","26"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","2"
"Male","2"
"","4"
"Mental disable",""
"Female","9"
"Male","13"
"","22"
"Multiple disable",""
"Female","1"
"Male","7"
"","8"
"No disability",""
"Female","14475"
"Male","15834"
"","30309"
"Physical",""
"Female","40"
"Male","72"
"","112"
"Speech problem",""
"Female","9"
"Male","25"
"","34"
