"Population by disability type","Number"
"Blind/low vision",""
"Female","52"
"Male","56"
"","108"
"Deaf/hard of hearing",""
"Female","45"
"Male","68"
"","113"
"Deaf-Blind",""
"Female","6"
"Male","5"
"","11"
"Intellectual disable",""
"Female","3"
"Male","4"
"","7"
"Mental disable",""
"Female","12"
"Male","9"
"","21"
"Multiple disable",""
"Female","26"
"Male","22"
"","48"
"No disability",""
"Female","7382"
"Male","6969"
"","14351"
"Physical",""
"Female","141"
"Male","108"
"","249"
"Speech problem",""
"Female","21"
"Male","27"
"","48"
