"Population by Educational Attainment","Number"
"Beginners",""
"Female","307"
"Male","321"
"","628"
"Graduate and Equivalent",""
"Female","22"
"Male","73"
"","95"
"Intermediate and Equivalent",""
"Female","119"
"Male","282"
"","401"
"Level not Stated",""
"Female","8"
"Male","7"
"","15"
"Lower Secondary (Class 6-8)",""
"Female","624"
"Male","1005"
"","1629"
"Non Formal Education",""
"Female","252"
"Male","104"
"","356"
"Others",""
"Female","0"
"Male","2"
"","2"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","18"
"","19"
"Primary Education (1-5 Class)",""
"Female","1937"
"Male","2349"
"","4286"
"Secondary Level (Class 9-10)",""
"Female","295"
"Male","559"
"","854"
"SLC and Equivalent",""
"Female","129"
"Male","340"
"","469"
