"Population by Educational Attainment","Number"
"Beginners",""
"Female","602"
"Male","801"
"","1403"
"Graduate and Equivalent",""
"Female","50"
"Male","103"
"","153"
"Intermediate and Equivalent",""
"Female","262"
"Male","372"
"","634"
"Level not Stated",""
"Female","34"
"Male","17"
"","51"
"Lower Secondary (Class 6-8)",""
"Female","1584"
"Male","2329"
"","3913"
"Non Formal Education",""
"Female","271"
"Male","188"
"","459"
"Others",""
"Female","1"
"Male","0"
"","1"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","25"
"","33"
"Primary Education (1-5 Class)",""
"Female","4554"
"Male","5760"
"","10314"
"Secondary Level (Class 9-10)",""
"Female","811"
"Male","1076"
"","1887"
"SLC and Equivalent",""
"Female","340"
"Male","472"
"","812"
