"Population by Single Year of Age","Number"
"0",""
"Female","277"
"Male","300"
"1",""
"Female","247"
"Male","263"
"10",""
"Female","420"
"Male","444"
"11",""
"Female","389"
"Male","416"
"12",""
"Female","400"
"Male","499"
"13",""
"Female","386"
"Male","361"
"14",""
"Female","412"
"Male","327"
"15",""
"Female","367"
"Male","334"
"16",""
"Female","437"
"Male","317"
"17",""
"Female","356"
"Male","243"
"18",""
"Female","415"
"Male","301"
"19",""
"Female","275"
"Male","182"
"2",""
"Female","270"
"Male","273"
"20",""
"Female","323"
"Male","172"
"21",""
"Female","301"
"Male","166"
"22",""
"Female","390"
"Male","199"
"23",""
"Female","253"
"Male","143"
"24",""
"Female","253"
"Male","160"
"25",""
"Female","294"
"Male","188"
"26",""
"Female","254"
"Male","134"
"27",""
"Female","235"
"Male","107"
"28",""
"Female","290"
"Male","186"
"29",""
"Female","151"
"Male","76"
"3",""
"Female","284"
"Male","279"
"30",""
"Female","333"
"Male","178"
"31",""
"Female","123"
"Male","97"
"32",""
"Female","253"
"Male","182"
"33",""
"Female","137"
"Male","108"
"34",""
"Female","142"
"Male","93"
"35",""
"Female","285"
"Male","216"
"36",""
"Female","187"
"Male","110"
"37",""
"Female","116"
"Male","97"
"38",""
"Female","169"
"Male","121"
"39",""
"Female","95"
"Male","71"
"4",""
"Female","351"
"Male","323"
"40",""
"Female","314"
"Male","246"
"41",""
"Female","106"
"Male","80"
"42",""
"Female","154"
"Male","136"
"43",""
"Female","103"
"Male","85"
"44",""
"Female","77"
"Male","69"
"45",""
"Female","210"
"Male","183"
"46",""
"Female","91"
"Male","96"
"47",""
"Female","88"
"Male","77"
"48",""
"Female","134"
"Male","115"
"49",""
"Female","68"
"Male","53"
"5",""
"Female","378"
"Male","372"
"50",""
"Female","226"
"Male","192"
"51",""
"Female","64"
"Male","61"
"52",""
"Female","103"
"Male","120"
"53",""
"Female","53"
"Male","63"
"54",""
"Female","65"
"Male","52"
"55",""
"Female","131"
"Male","117"
"56",""
"Female","81"
"Male","68"
"57",""
"Female","65"
"Male","67"
"58",""
"Female","83"
"Male","89"
"59",""
"Female","39"
"Male","52"
"6",""
"Female","378"
"Male","373"
"60",""
"Female","210"
"Male","173"
"61",""
"Female","60"
"Male","65"
"62",""
"Female","56"
"Male","57"
"63",""
"Female","29"
"Male","41"
"64",""
"Female","41"
"Male","34"
"65",""
"Female","102"
"Male","97"
"66",""
"Female","31"
"Male","40"
"67",""
"Female","40"
"Male","42"
"68",""
"Female","45"
"Male","72"
"69",""
"Female","18"
"Male","28"
"7",""
"Female","388"
"Male","361"
"70",""
"Female","72"
"Male","74"
"71",""
"Female","8"
"Male","19"
"72",""
"Female","18"
"Male","29"
"73",""
"Female","11"
"Male","17"
"74",""
"Female","10"
"Male","11"
"75",""
"Female","32"
"Male","23"
"76",""
"Female","14"
"Male","11"
"77",""
"Female","12"
"Male","8"
"78",""
"Female","9"
"Male","18"
"79",""
"Female","5"
"Male","12"
"8",""
"Female","419"
"Male","461"
"80",""
"Female","20"
"Male","13"
"81",""
"Female","6"
"Male","3"
"82",""
"Female","6"
"Male","13"
"83",""
"Female","4"
"Male","3"
"84",""
"Female","3"
"Male","4"
"85",""
"Female","28"
"Male","22"
"9",""
"Female","362"
"Male","346"
