"Population by disability type","Number"
"Blind/low vision",""
"Female","37"
"Male","38"
"","75"
"Deaf/hard of hearing",""
"Female","18"
"Male","30"
"","48"
"Deaf-Blind",""
"Female","2"
"Male","6"
"","8"
"Intellectual disable",""
"Female","2"
"Male","5"
"","7"
"Mental disable",""
"Female","3"
"Male","13"
"","16"
"Multiple disable",""
"Female","4"
"Male","9"
"","13"
"No disability",""
"Female","5586"
"Male","4915"
"","10501"
"Physical",""
"Female","55"
"Male","65"
"","120"
"Speech problem",""
"Female","9"
"Male","21"
"","30"
