"Population by Educational Attainment","Number"
"Beginners",""
"Female","218"
"Male","245"
"","463"
"Graduate and Equivalent",""
"Female","63"
"Male","145"
"","208"
"Intermediate and Equivalent",""
"Female","319"
"Male","326"
"","645"
"Level not Stated",""
"Female","29"
"Male","13"
"","42"
"Lower Secondary (Class 6-8)",""
"Female","2436"
"Male","1919"
"","4355"
"Non Formal Education",""
"Female","438"
"Male","426"
"","864"
"Others",""
"Female","0"
"Male","2"
"","2"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","51"
"","57"
"Primary Education (1-5 Class)",""
"Female","3652"
"Male","3422"
"","7074"
"Secondary Level (Class 9-10)",""
"Female","1385"
"Male","1115"
"","2500"
"SLC and Equivalent",""
"Female","763"
"Male","758"
"","1521"
