"Population by disability type","Number"
"Blind/low vision",""
"Female","51"
"Male","44"
"","95"
"Deaf/hard of hearing",""
"Female","31"
"Male","33"
"","64"
"Deaf-Blind",""
"Female","2"
"Male","6"
"","8"
"Intellectual disable",""
"Female","4"
"Male","10"
"","14"
"Mental disable",""
"Female","10"
"Male","27"
"","37"
"Multiple disable",""
"Female","26"
"Male","29"
"","55"
"No disability",""
"Female","14708"
"Male","10682"
"","25390"
"Physical",""
"Female","97"
"Male","149"
"","246"
"Speech problem",""
"Female","47"
"Male","50"
"","97"
