"Population by disability type","Number"
"Blind/low vision",""
"Female","109"
"Male","101"
"","210"
"Deaf/hard of hearing",""
"Female","160"
"Male","172"
"","332"
"Deaf-Blind",""
"Female","10"
"Male","16"
"","26"
"Intellectual disable",""
"Female","29"
"Male","25"
"","54"
"Mental disable",""
"Female","31"
"Male","24"
"","55"
"Multiple disable",""
"Female","56"
"Male","49"
"","105"
"No disability",""
"Female","17797"
"Male","14235"
"","32032"
"Physical",""
"Female","214"
"Male","278"
"","492"
"Speech problem",""
"Female","90"
"Male","102"
"","192"
