"Population by disability type","Number"
"Blind/low vision",""
"Female","147"
"Male","122"
"","269"
"Deaf/hard of hearing",""
"Female","99"
"Male","106"
"","205"
"Deaf-Blind",""
"Female","19"
"Male","12"
"","31"
"Intellectual disable",""
"Female","16"
"Male","13"
"","29"
"Mental disable",""
"Female","28"
"Male","49"
"","77"
"Multiple disable",""
"Female","54"
"Male","44"
"","98"
"No disability",""
"Female","25528"
"Male","25041"
"","50569"
"Physical",""
"Female","188"
"Male","279"
"","467"
"Speech problem",""
"Female","50"
"Male","50"
"","100"
