"Population by Educational Attainment","Number"
"Beginners",""
"Female","402"
"Male","501"
"Graduate and Equivalent",""
"Female","97"
"Male","249"
"Intermediate and Equivalent",""
"Female","454"
"Male","658"
"Level not Stated",""
"Female","24"
"Male","20"
"Lower Secondary (Class 6-8)",""
"Female","2005"
"Male","1854"
"Non Formal Education",""
"Female","232"
"Male","213"
"Others",""
"Female","0"
"Male","0"
"Post Graduate Equivalent and Above",""
"Female","19"
"Male","102"
"Primary Education (1-5 Class)",""
"Female","3217"
"Male","3441"
"Secondary Level (Class 9-10)",""
"Female","1364"
"Male","1312"
"SLC and Equivalent",""
"Female","1429"
"Male","1430"
