"Population by Educational Attainment","Number"
"Beginners",""
"Female","200"
"Male","287"
"","487"
"Graduate and Equivalent",""
"Female","65"
"Male","261"
"","326"
"Intermediate and Equivalent",""
"Female","208"
"Male","457"
"","665"
"Level not Stated",""
"Female","84"
"Male","102"
"","186"
"Lower Secondary (Class 6-8)",""
"Female","1687"
"Male","2463"
"","4150"
"Non Formal Education",""
"Female","144"
"Male","150"
"","294"
"Others",""
"Female","25"
"Male","56"
"","81"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","82"
"","87"
"Primary Education (1-5 Class)",""
"Female","4141"
"Male","5287"
"","9428"
"Secondary Level (Class 9-10)",""
"Female","688"
"Male","1297"
"","1985"
"SLC and Equivalent",""
"Female","509"
"Male","1115"
"","1624"
