"Population by disability type","Number"
"Blind/low vision",""
"Female","50"
"Male","48"
"","98"
"Deaf/hard of hearing",""
"Female","37"
"Male","55"
"","92"
"Deaf-Blind",""
"Female","18"
"Male","10"
"","28"
"Intellectual disable",""
"Female","11"
"Male","12"
"","23"
"Mental disable",""
"Female","20"
"Male","13"
"","33"
"Multiple disable",""
"Female","17"
"Male","15"
"","32"
"No disability",""
"Female","14831"
"Male","12996"
"","27827"
"Physical",""
"Female","113"
"Male","177"
"","290"
"Speech problem",""
"Female","44"
"Male","50"
"","94"
