"Population by Single Year of Age","Number"
"0",""
"Female","153"
"Male","200"
"1",""
"Female","117"
"Male","124"
"10",""
"Female","199"
"Male","216"
"11",""
"Female","146"
"Male","132"
"12",""
"Female","238"
"Male","227"
"13",""
"Female","114"
"Male","150"
"14",""
"Female","176"
"Male","162"
"15",""
"Female","147"
"Male","145"
"16",""
"Female","165"
"Male","147"
"17",""
"Female","64"
"Male","54"
"18",""
"Female","190"
"Male","168"
"19",""
"Female","85"
"Male","97"
"2",""
"Female","199"
"Male","227"
"20",""
"Female","154"
"Male","126"
"21",""
"Female","57"
"Male","70"
"22",""
"Female","116"
"Male","115"
"23",""
"Female","67"
"Male","47"
"24",""
"Female","94"
"Male","100"
"25",""
"Female","136"
"Male","107"
"26",""
"Female","79"
"Male","76"
"27",""
"Female","68"
"Male","64"
"28",""
"Female","104"
"Male","92"
"29",""
"Female","35"
"Male","27"
"3",""
"Female","222"
"Male","229"
"30",""
"Female","167"
"Male","108"
"31",""
"Female","28"
"Male","46"
"32",""
"Female","80"
"Male","89"
"33",""
"Female","41"
"Male","48"
"34",""
"Female","65"
"Male","51"
"35",""
"Female","142"
"Male","132"
"36",""
"Female","59"
"Male","58"
"37",""
"Female","36"
"Male","34"
"38",""
"Female","103"
"Male","65"
"39",""
"Female","22"
"Male","35"
"4",""
"Female","229"
"Male","240"
"40",""
"Female","172"
"Male","135"
"41",""
"Female","18"
"Male","36"
"42",""
"Female","42"
"Male","66"
"43",""
"Female","31"
"Male","37"
"44",""
"Female","29"
"Male","23"
"45",""
"Female","114"
"Male","114"
"46",""
"Female","36"
"Male","39"
"47",""
"Female","12"
"Male","25"
"48",""
"Female","70"
"Male","71"
"49",""
"Female","21"
"Male","22"
"5",""
"Female","224"
"Male","217"
"50",""
"Female","107"
"Male","87"
"51",""
"Female","16"
"Male","27"
"52",""
"Female","18"
"Male","44"
"53",""
"Female","15"
"Male","22"
"54",""
"Female","21"
"Male","18"
"55",""
"Female","45"
"Male","68"
"56",""
"Female","30"
"Male","29"
"57",""
"Female","10"
"Male","13"
"58",""
"Female","46"
"Male","44"
"59",""
"Female","16"
"Male","18"
"6",""
"Female","197"
"Male","260"
"60",""
"Female","97"
"Male","70"
"61",""
"Female","59"
"Male","33"
"62",""
"Female","43"
"Male","36"
"63",""
"Female","20"
"Male","36"
"64",""
"Female","16"
"Male","16"
"65",""
"Female","79"
"Male","50"
"66",""
"Female","9"
"Male","11"
"67",""
"Female","9"
"Male","14"
"68",""
"Female","25"
"Male","14"
"69",""
"Female","5"
"Male","3"
"7",""
"Female","193"
"Male","181"
"70",""
"Female","37"
"Male","30"
"71",""
"Female","4"
"Male","6"
"72",""
"Female","9"
"Male","5"
"73",""
"Female","4"
"Male","6"
"74",""
"Female","4"
"Male","8"
"75",""
"Female","13"
"Male","16"
"76",""
"Female","3"
"Male","8"
"77",""
"Female","0"
"Male","1"
"78",""
"Female","6"
"Male","6"
"79",""
"Female","1"
"Male","1"
"8",""
"Female","235"
"Male","217"
"80",""
"Female","9"
"Male","4"
"81",""
"Female","0"
"Male","3"
"82",""
"Female","1"
"Male","5"
"83",""
"Female","1"
"Male","0"
"84",""
"Female","0"
"Male","1"
"85",""
"Female","13"
"Male","9"
"9",""
"Female","186"
"Male","165"
