"Population by Educational Attainment","Number"
"Beginners",""
"Female","279"
"Male","324"
"Graduate and Equivalent",""
"Female","8"
"Male","34"
"Intermediate and Equivalent",""
"Female","52"
"Male","197"
"Level not Stated",""
"Female","8"
"Male","6"
"Lower Secondary (Class 6-8)",""
"Female","511"
"Male","809"
"Non Formal Education",""
"Female","80"
"Male","128"
"Others",""
"Female","2"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","13"
"Primary Education (1-5 Class)",""
"Female","1472"
"Male","1668"
"Secondary Level (Class 9-10)",""
"Female","174"
"Male","407"
"SLC and Equivalent",""
"Female","107"
"Male","272"
