"Population by Educational Attainment","Number"
"Beginners",""
"Female","1284"
"Male","1435"
"","2719"
"Graduate and Equivalent",""
"Female","726"
"Male","1470"
"","2196"
"Intermediate and Equivalent",""
"Female","2321"
"Male","3050"
"","5371"
"Level not Stated",""
"Female","159"
"Male","123"
"","282"
"Lower Secondary (Class 6-8)",""
"Female","7708"
"Male","8049"
"","15757"
"Non Formal Education",""
"Female","2296"
"Male","1323"
"","3619"
"Others",""
"Female","44"
"Male","45"
"","89"
"Post Graduate Equivalent and Above",""
"Female","138"
"Male","592"
"","730"
"Primary Education (1-5 Class)",""
"Female","11732"
"Male","13233"
"","24965"
"Secondary Level (Class 9-10)",""
"Female","4470"
"Male","4797"
"","9267"
"SLC and Equivalent",""
"Female","3771"
"Male","4719"
"","8490"
