"Population by Mother tongue","Number"
"Avadhi",""
"Female","16"
"Male","20"
"","36"
"Belhare",""
"Female","169"
"Male","163"
"","332"
"Bhojpuri",""
"Female","44"
"Male","90"
"","134"
"Chhantyal",""
"Female","51"
"Male","34"
"","85"
"English",""
"Female","9"
"Male","6"
"","15"
"Gurung",""
"Female","321"
"Male","261"
"","582"
"Hindi",""
"Female","266"
"Male","341"
"","607"
"Jumli",""
"Female","8"
"Male","9"
"","17"
"Kham",""
"Female","5"
"Male","9"
"","14"
"Limbu",""
"Female","8"
"Male","9"
"","17"
"Magar",""
"Female","3263"
"Male","2777"
"","6040"
"Maithili",""
"Female","106"
"Male","168"
"","274"
"Nepali",""
"Female","43911"
"Male","41629"
"","85540"
"Newar",""
"Female","230"
"Male","235"
"","465"
"Others",""
"Female","13"
"Male","15"
"","28"
"Rai",""
"Female","17"
"Male","12"
"","29"
"Raji",""
"Female","27"
"Male","33"
"","60"
"Sherpa",""
"Female","9"
"Male","5"
"","14"
"Tamang",""
"Female","51"
"Male","49"
"","100"
"Thakali",""
"Female","5"
"Male","6"
"","11"
"Tharu",""
"Female","3044"
"Male","2748"
"","5792"
"Urdu",""
"Female","114"
"Male","152"
"","266"
