"Population by disability type","Number"
"Blind/low vision",""
"Female","136"
"Male","133"
"","269"
"Deaf/hard of hearing",""
"Female","156"
"Male","185"
"","341"
"Deaf-Blind",""
"Female","19"
"Male","21"
"","40"
"Intellectual disable",""
"Female","21"
"Male","33"
"","54"
"Mental disable",""
"Female","71"
"Male","73"
"","144"
"Multiple disable",""
"Female","84"
"Male","104"
"","188"
"No disability",""
"Female","50804"
"Male","47706"
"","98510"
"Physical",""
"Female","314"
"Male","411"
"","725"
"Speech problem",""
"Female","82"
"Male","105"
"","187"
