"Population by disability type","Number"
"Blind/low vision",""
"Female","88"
"Male","72"
"","160"
"Deaf/hard of hearing",""
"Female","66"
"Male","76"
"","142"
"Deaf-Blind",""
"Female","5"
"Male","3"
"","8"
"Intellectual disable",""
"Female","6"
"Male","5"
"","11"
"Mental disable",""
"Female","16"
"Male","17"
"","33"
"Multiple disable",""
"Female","20"
"Male","24"
"","44"
"No disability",""
"Female","7753"
"Male","8166"
"","15919"
"Physical",""
"Female","185"
"Male","266"
"","451"
"Speech problem",""
"Female","23"
"Male","27"
"","50"
