"Population by disability type","Number"
"Blind/low vision",""
"Female","24"
"Male","18"
"","42"
"Deaf/hard of hearing",""
"Female","37"
"Male","44"
"","81"
"Deaf-Blind",""
"Female","1"
"Male","0"
"","1"
"Intellectual disable",""
"Female","4"
"Male","6"
"","10"
"Mental disable",""
"Female","12"
"Male","15"
"","27"
"Multiple disable",""
"Female","23"
"Male","18"
"","41"
"No disability",""
"Female","9377"
"Male","7905"
"","17282"
"Physical",""
"Female","56"
"Male","93"
"","149"
"Speech problem",""
"Female","26"
"Male","28"
"","54"
