"Population by Educational Attainment","Number"
"Beginners",""
"Female","92"
"Male","124"
"","216"
"Graduate and Equivalent",""
"Female","4"
"Male","14"
"","18"
"Intermediate and Equivalent",""
"Female","25"
"Male","64"
"","89"
"Level not Stated",""
"Female","7"
"Male","10"
"","17"
"Lower Secondary (Class 6-8)",""
"Female","684"
"Male","666"
"","1350"
"Non Formal Education",""
"Female","73"
"Male","101"
"","174"
"Others",""
"Female","0"
"Male","0"
"","0"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","7"
"","7"
"Primary Education (1-5 Class)",""
"Female","1289"
"Male","1363"
"","2652"
"Secondary Level (Class 9-10)",""
"Female","259"
"Male","282"
"","541"
"SLC and Equivalent",""
"Female","219"
"Male","281"
"","500"
