"Population by disability type","Number"
"Blind/low vision",""
"Female","19"
"Male","26"
"","45"
"Deaf/hard of hearing",""
"Female","18"
"Male","28"
"","46"
"Deaf-Blind",""
"Female","1"
"Male","0"
"","1"
"Intellectual disable",""
"Female","3"
"Male","3"
"","6"
"Mental disable",""
"Female","4"
"Male","7"
"","11"
"Multiple disable",""
"Female","20"
"Male","19"
"","39"
"No disability",""
"Female","4737"
"Male","4163"
"","8900"
"Physical",""
"Female","34"
"Male","58"
"","92"
"Speech problem",""
"Female","11"
"Male","9"
"","20"
